patch_size,subset,heads,train_accuracy,val_accuracy
4,0.2,2,50.23,46.86
4,0.2,4,53.77,48.72
4,0.2,8,55.41,49.7
4,0.4,2,54.495,52.01
4,0.4,4,56.48,51.43
4,0.4,8,58.855,52.62
4,0.6,2,56.95666666666666,52.91
4,0.6,4,59.153333333333336,55.13
4,0.6,8,61.123333333333335,56.34
4,0.8,2,59.6275,57.28
4,0.8,4,60.3275,57.79
4,0.8,8,63.3475,59.43
4,1.0,2,60.902,58.15
4,1.0,4,63.26,59.04
4,1.0,8,65.078,60.81
8,0.2,2,49.34,45.1
8,0.2,4,53.02,46.75
8,0.2,8,54.63,49.16
8,0.4,2,52.725,48.19
8,0.4,4,54.83,51.47
8,0.4,8,57.84,52.6
8,0.6,2,56.17,52.92
8,0.6,4,58.29333333333334,54.97
8,0.6,8,59.68333333333333,54.38
8,0.8,2,57.425,54.49
8,0.8,4,59.595,56.04
8,0.8,8,60.635,56.69
8,1.0,2,58.702,57.2
8,1.0,4,61.262,57.98
8,1.0,8,62.058,59.45
16,0.2,2,48.1,42.68
16,0.2,4,51.14,45.0
16,0.2,8,51.66,43.83
16,0.4,2,52.09,48.24
16,0.4,4,52.58,48.33
16,0.4,8,53.95,48.77
16,0.6,2,53.31666666666667,50.21
16,0.6,4,55.28333333333333,50.76
16,0.6,8,55.373333333333335,50.71
16,0.8,2,56.4675,52.82
16,0.8,4,56.07,51.81
16,0.8,8,57.4125,52.78
16,1.0,2,56.984,54.25
16,1.0,4,58.368,54.1
16,1.0,8,58.692,54.08
