patch_size,subset,heads,train_accuracy,val_accuracy
4,0.2,2,49.79,42.33
4,0.2,4,52.68,47.18
4,0.2,8,55.33,50.49
4,0.4,2,53.195,52.46
4,0.4,4,55.99,51.62
4,0.4,8,59.39,53.93
4,0.6,2,56.37,52.79
4,0.6,4,59.28666666666667,55.46
4,0.6,8,61.25666666666667,55.92
4,0.8,2,59.6125,56.42
4,0.8,4,61.0775,57.41
4,0.8,8,64.515,59.69
4,1.0,2,62.128,60.67
4,1.0,4,63.028,59.67
4,1.0,8,65.028,61.6
8,0.2,2,47.85,44.54
8,0.2,4,52.86,46.77
8,0.2,8,56.16,48.01
8,0.4,2,53.21,48.76
8,0.4,4,55.29,51.22
8,0.4,8,58.14,52.82
8,0.6,2,55.57666666666667,52.14
8,0.6,4,57.32666666666667,53.24
8,0.6,8,59.693333333333335,53.99
8,0.8,2,56.7025,53.97
8,0.8,4,59.79,56.32
8,0.8,8,61.595,56.34
8,1.0,2,59.956,56.36
8,1.0,4,61.512,57.83
8,1.0,8,62.912,58.9
16,0.2,2,48.48,44.84
16,0.2,4,50.5,44.66
16,0.2,8,52.78,46.35
16,0.4,2,51.585,48.59
16,0.4,4,52.925,49.31
16,0.4,8,55.055,48.36
16,0.6,2,54.126666666666665,51.34
16,0.6,4,55.376666666666665,51.81
16,0.6,8,56.00666666666667,51.21
16,0.8,2,57.3825,53.82
16,0.8,4,57.23,53.36
16,0.8,8,58.1675,53.69
16,1.0,2,58.1,54.73
16,1.0,4,58.584,54.6
16,1.0,8,58.944,54.74
