patch_size,subset,heads,train_accuracy,val_accuracy
4,0.2,2,28.98,28.8
4,0.2,4,30.11,30.0
4,0.2,8,29.9,31.35
4,0.4,2,35.39,36.76
4,0.4,4,36.66,37.46
4,0.4,8,38.085,39.64
4,0.6,2,37.663333333333334,37.67
4,0.6,4,39.876666666666665,40.54
4,0.6,8,41.67,42.97
4,0.8,2,38.73,40.52
4,0.8,4,40.615,41.63
4,0.8,8,42.0925,42.89
4,1.0,2,43.154,43.67
4,1.0,4,42.932,43.96
4,1.0,8,43.95,44.99
8,0.2,2,30.84,32.18
8,0.2,4,32.2,32.65
8,0.2,8,34.7,33.68
8,0.4,2,37.945,38.09
8,0.4,4,39.43,39.74
8,0.4,8,37.655,38.84
8,0.6,2,40.13333333333333,40.21
8,0.6,4,40.693333333333335,41.84
8,0.6,8,41.593333333333334,42.38
8,0.8,2,39.135,39.61
8,0.8,4,42.7175,43.19
8,0.8,8,43.6825,44.14
8,1.0,2,41.616,42.34
8,1.0,4,43.784,43.64
8,1.0,8,44.654,45.32
16,0.2,2,35.85,34.21
16,0.2,4,35.65,34.62
16,0.2,8,36.51,36.11
16,0.4,2,38.69,37.72
16,0.4,4,39.945,38.67
16,0.4,8,39.85,39.0
16,0.6,2,40.39,40.19
16,0.6,4,41.71,41.0
16,0.6,8,42.5,41.76
16,0.8,2,42.2425,42.08
16,0.8,4,42.5675,42.82
16,0.8,8,43.4375,43.17
16,1.0,2,42.59,42.84
16,1.0,4,43.832,43.65
16,1.0,8,43.73,44.04
