patch_size,subset,heads,train_accuracy,val_accuracy
4,0.2,2,36.43,37.62
4,0.2,4,37.8,38.04
4,0.2,8,38.4,38.64
4,0.4,2,42.655,42.87
4,0.4,4,43.02,44.21
4,0.4,8,43.945,43.75
4,0.6,2,44.803333333333335,45.2
4,0.6,4,46.72666666666667,47.4
4,0.6,8,47.47,47.62
4,0.8,2,45.0225,45.2
4,0.8,4,48.6875,48.44
4,0.8,8,49.6075,49.44
4,1.0,2,47.636,48.35
4,1.0,4,49.558,48.68
4,1.0,8,51.068,51.27
8,0.2,2,37.27,36.91
8,0.2,4,38.19,38.08
8,0.2,8,41.64,40.12
8,0.4,2,41.035,41.05
8,0.4,4,43.875,43.9
8,0.4,8,45.04,44.09
8,0.6,2,44.31,44.63
8,0.6,4,45.97666666666667,45.29
8,0.6,8,47.86,47.46
8,0.8,2,45.8475,45.59
8,0.8,4,48.2125,47.49
8,0.8,8,49.12,48.82
8,1.0,2,46.67,46.87
8,1.0,4,49.192,49.36
8,1.0,8,50.484,50.27
16,0.2,2,39.86,38.0
16,0.2,4,41.36,38.63
16,0.2,8,42.03,39.05
16,0.4,2,44.015,42.16
16,0.4,4,45.735,43.8
16,0.4,8,45.935,44.19
16,0.6,2,44.88666666666666,44.17
16,0.6,4,46.21,45.28
16,0.6,8,47.486666666666665,46.16
16,0.8,2,45.3775,44.88
16,0.8,4,47.835,47.8
16,0.8,8,48.4975,46.21
16,1.0,2,46.9,46.47
16,1.0,4,49.02,48.28
16,1.0,8,48.924,48.2
